,PR,PR_ID,PR_TYPE,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
24,上海市,310000,直辖市,16.1319835,18.1256093,18.58817648,21.34583177,19.56105487,20.39895013,20.72353456,21.55218098,22.01062367,21.96712911,25.45719285,28.02024747,28.38807649,29.91913511,32.35045619,32.86364204,33.50668666,27.09786277,36.94763155,35.98825147,33.24809399,37.40369954,43.42857143,44.06499188,43.97625297,45.73540807,45.46044244,45.97687789,45.04005508,46.42383277,46.7962198,
25,四川省,510000,省,0.170547978,0.183966116,0.195604906,0.252307496,0.26877624,0.279256911,0.32849858,0.345399304,0.408960099,0.460386355,0.53912201,0.595896596,0.618581746,0.620846558,0.710406411,0.708657919,0.715232251,0.761291663,0.965219395,0.905375689,0.960488179,1.159721722,1.280729759,1.28686594,1.351156988,1.662870038,1.842561604,2.042899783,1.851433497,2.039784497,4.462559579,
26,台湾省,710000,省,11.30169085,11.63813798,12.37034234,12.8361862,14.12201232,13.48559649,13.17260724,14.23100407,14.12866611,14.6497756,15.38307588,14.6326062,14.22609853,14.17427722,15.57165223,15.13145809,15.41258741,13.88772049,16.59620603,15.83545559,16.82981943,15.78032043,0,0,0,0,0,0,0,0,0,
27,天津市,120000,直辖市,10.00413531,11.57613101,11.10073608,12.59920602,13.1789761,12.33016293,13.02944339,12.50376313,12.48771814,13.77007692,14.0672401,15.38309486,15.85683566,16.75618228,18.35381689,19.18054751,19.54362749,18.63650649,22.25357704,20.86626416,21.776528,23.32735092,28.02812009,28.20618642,27.73186668,32.3754859,32.24530643,34.33264412,32.28156545,32.63900381,34.21429753,
28,西藏自治区,540000,自治区,0.0022773,0.002558428,0.002516841,0.00376029,0.004372449,0.004916406,0.005737332,0.00660234,0.007752634,0.008862173,0.010098137,0.012529308,0.013316965,0.014439812,0.015891195,0.017330935,0.017225304,0.018111937,0.022946833,0.024681839,0.028235858,0.030756025,0.025249917,0.029436056,0.028095294,0.042906893,0.044591995,0.052372077,0.071077453,0.093280267,0.355473767,
29,香港特别行政区,810000,特别行政区,42.15128006,40.28083786,41.64313421,41.86578743,43.50814585,43.6291699,41.85802948,43.68968192,44.22963538,44.33359193,44.10240497,43.67416602,43.91854151,40.9992242,42.89371606,42.37470908,43.34910784,39.2738557,41.62994569,44.28238945,40.05973623,41.49883631,6.605120248,6.616757176,6.602792863,6.697439876,6.770364624,6.829325058,6.847826087,6.519409938,6.557453416,
30,新疆维吾尔自治区,650000,自治区,0.050326778,0.06880618,0.069580193,0.083204536,0.097359402,0.097598598,0.102606988,0.104112081,0.111303285,0.116162638,0.125375967,0.140573481,0.141051259,0.153583888,0.173036633,0.184848608,0.189569963,0.203037295,0.274329271,0.30077389,0.364675945,0.388090139,0.422017904,0.425776343,0.399093755,0.621757365,0.637062824,0.78481095,0.676894185,0.803664268,1.793736043,
31,云南省,530000,省,0.221669181,0.28181263,0.303379496,0.350047242,0.404665209,0.407802492,0.468173015,0.498569691,0.526588609,0.574932008,0.627159166,0.665284209,0.669110546,0.731057541,0.812574713,0.860508334,0.906051147,0.927832038,1.20728779,1.188320535,1.353469021,1.42001493,1.030151331,1.059342162,1.013397401,1.434918331,1.464304917,1.551470243,1.688922586,1.99102438,4.364033313,
32,浙江省,330000,省,2.085424746,2.378980832,2.553829803,3.272822196,3.125214424,3.158683249,3.566368959,3.872809144,4.095111128,4.406324582,5.339135218,6.071365976,6.065781623,6.182530952,7.220334875,7.678121271,7.931962261,5.83313134,8.87603483,8.979405952,9.072232995,9.396945853,12.35817236,12.66804333,12.96138499,16.16595503,16.029777,17.34856988,17.42707556,18.86469678,22.530574,
33,重庆市,500000,直辖市,0.355063406,0.331994418,0.349821006,0.489569808,0.546762939,0.585182938,0.804320126,0.761337297,0.853661792,0.960208725,1.163436685,1.29006735,1.347418239,1.414974819,1.575244221,1.603094472,1.555815788,1.572258965,1.962963412,2.04731509,2.302348158,2.577028093,2.762975548,2.884291002,3.154747892,4.087385474,4.237437049,4.440446575,4.125655467,4.656486696,8.47340503,
